temperaturemin,temperaturemax,precipitation,avgwindspeed,fastest2minwinddir,fastest2minwindspeed,fastest5secwinddir,fastest5secwindspeed,fog,fogheavy,mist,rain,fogground,ice,glaze,drizzle,snow,freezingrain,smokehaze,thunder,highwind,hail,blowingsnow,dust,freezingfog
50,64.9,0.23,6.71,40,17,50,23.04,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
44.1,78.1,0,3.8,230,14.99,230,17.9,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
44.1,70,0,2.01,280,8.95,10,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
50,80.1,0,1.34,100,8.05,140,12.08,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
62.1,66,0,12.08,40,21.03,30,29.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
37.9,57.9,0,5.14,270,16.11,300,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
34,64.9,0,3.58,310,14.99,300,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
45,55.9,0,12.3,40,19.91,50,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
46.9,59,0,8.05,40,16.11,40,23.94,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
30.9,63,0,2.46,230,12.97,220,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
39,69.1,0,4.47,220,16.11,240,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
27,57.9,0,0.89,240,6.93,230,8.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
48,57.9,0.09,5.59,220,16.11,220,17.9,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
37,57.9,0,15.43,290,25.05,240,38.03,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
44.1,53.1,0,6.26,210,17,210,23.94,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
27,45,0,1.34,180,6.93,170,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
37.9,52,0.37,6.26,290,17,300,31.09,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
25,53.1,0,6.26,230,21.92,230,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
44.1,60.1,0.01,7.83,30,17,20,23.94,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
28.9,59,0,5.14,230,17.9,290,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
25,53.1,0.03,4.47,150,12.08,160,16.11,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
45,63,0.05,10.51,220,21.03,240,25.05,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
32,46.9,0.39,4.03,10,12.97,20,21.03,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No
36,44.1,0.92,2.46,30,10.07,40,14.99,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
32,42.1,0,6.93,70,16.11,50,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
33.1,62.1,0,3.58,40,12.97,50,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
28,62.1,0,7.83,240,19.91,240,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
37.9,55,0,3.8,230,16.11,250,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
35.1,48,0,7.38,270,21.92,270,31.99,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
32,50,0,6.49,310,12.97,310,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
37.9,66,0,3.58,230,12.97,240,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
39,63,0.04,2.68,30,12.08,30,16.11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
57,82.9,0,7.61,240,19.91,220,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
57.9,80.1,0,7.61,200,14.99,200,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
44.1,64,0.01,3.8,240,21.92,240,29.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
41,61,0,9.4,50,21.03,50,27.96,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
52,64.9,0,7.61,50,17,50,23.04,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
48.9,64,0,11.63,50,19.91,50,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
50,60.1,0,12.3,80,21.03,80,27.96,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
55.9,84,0,7.16,240,21.03,240,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64.9,81,0.3,9.62,230,23.04,240,29.08,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
61,86,0,2.46,110,12.97,110,16.11,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
41,73,0,2.91,270,14.99,260,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64,82,0,6.04,110,14.09,120,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
70,86,0,8.5,240,16.11,230,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
59,80.1,0,4.25,340,14.09,80,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64.9,80.1,0,5.14,70,12.97,90,18.12,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
69.1,93.9,0,2.01,210,12.08,210,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
73,89.1,0,6.71,220,16.11,210,21.92,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
66.9,89.1,0.77,0.67,250,14.99,240,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64,82,0,4.47,190,12.97,190,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
73,91.9,0.66,2.01,300,19.91,290,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
71.1,90,0.08,5.59,230,21.03,240,29.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
66.9,81,0.05,5.59,270,12.97,260,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
72,87.1,0,6.93,50,14.99,50,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
71.1,89.1,0.3,4.03,270,21.92,270,31.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
68,84.9,0,2.91,80,12.97,60,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
57.9,63,0,11.41,50,19.91,60,27.96,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
62.1,66.9,0.07,7.16,30,12.97,30,17,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
50,73,0,1.79,40,8.05,40,12.08,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
55,72,0,4.92,240,14.09,220,17,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
50,71.1,0,4.03,300,14.99,280,23.04,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
30.2,59,0,3.8,230,14.99,240,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
35.1,61,0.01,6.93,40,19.91,30,29.08,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
52,71.1,0.08,5.37,210,18.12,220,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
54,75,0.06,7.16,230,18.12,230,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
41,55.9,0,6.49,20,14.09,30,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
